date;stadium;time;home_team;away_team;home_score;away_score;attendance;average_ticket_price
11/11/18;Independência;17h00;Atlético-MG;Palmeiras;1;1;18717;11
05/09/18;Independência;21h45;Atlético-MG;São Paulo;1;0;18688;16
22/08/18;Fonte Nova;19h30;Bahia;Internacional;0;1;18671;18
18/11/18;Ilha do Retiro;17h00;Sport;Flamengo;0;1;18548;15
29/04/18;Beira-Rio;19h00;Internacional;Cruzeiro;0;0;18470;44
15/04/18;Beira-Rio;16h00;Internacional;Bahia;2;0;18460;43
30/09/18;Engenhão;16h00;Botafogo;São Paulo;2;2;18403;15
10/11/18;Engenhão;19h00;Botafogo;Flamengo;2;1;18276;9
30/05/18;Arena do Grêmio;21h45;Grêmio;Fluminense;0;0;18194;28
25/07/18;Independência;21h00;Atlético-MG;Paraná;2;0;18143;14
10/09/18;Independência;20h00;Atlético-MG;Atlético-PR;3;1;18099;16
21/10/18;Barradão;16h00;Vitória;Corinthians;2;2;17982;10
14/11/18;Fonte Nova;21h00;Bahia;Ceará;2;1;17825;18
04/11/18;Fonte Nova;19h00;Bahia;Chapecoense;1;0;17448;16
18/11/18;Engenhão;17h00;Botafogo;Internacional;1;0;17373;9
29/04/18;Maracanã;16h00;Fluminense;São Paulo;1;1;17211;32
08/08/18;Presidente Vargas (CE);19h30;Ceará;Santos;1;1;17047;9
15/11/18;Arena Condá;17h00;Chapecoense;Botafogo;0;1;16593;15
29/04/18;Fonte Nova;16h00;Bahia;Atlético-PR;0;0;16235;19
17/09/18;Arena Condá;20h00;Chapecoense;Internacional;2;1;16225;52
13/05/18;Mineirão;11h00;Cruzeiro;Sport;2;0;16203;25
05/11/18;Ilha do Retiro;20h00;Sport;Ceará;1;0;16203;16
12/08/18;Arena do Grêmio;19h00;Grêmio;Vitória;4;0;16146;27
30/05/18;Mineirão;21h45;Cruzeiro;Palmeiras;1;0;16125;22
30/07/18;Fonte Nova;20h00;Bahia;Atlético-MG;2;2;15993;17
06/05/18;Mineirão;16h00;Cruzeiro;Botafogo;1;0;15792;24
22/04/18;Durival Britto;11h00;Paraná;Corinthians;0;4;15714;40
03/06/18;Fonte Nova;16h00;Bahia;Grêmio;0;2;15623;18
21/04/18;Fonte Nova;16h00;Bahia;Santos;1;0;15588;20
05/08/18;Maracanã;19h00;Fluminense;Bahia;1;1;15461;25
14/04/18;Mineirão;16h00;Cruzeiro;Grêmio;0;1;15252;27
20/08/18;São Januário;20h00;Vasco;Ceará;1;1;15093;25
13/06/18;Fonte Nova;21h45;Bahia;Corinthians;1;0;15041;20
27/05/18;Fonte Nova;16h00;Bahia;Vasco;3;0;15031;19
03/11/18;Independência;17h00;Atlético-MG;Grêmio;0;1;14873;9
01/09/18;Arena do Grêmio;16h00;Grêmio;Botafogo;4;0;14852;36
26/05/18;Independência;21h00;Atlético-MG;Flamengo;0;1;14840;37
05/06/18;Morumbi;21h30;São Paulo;Internacional;0;0;14730;22
04/08/18;Arena do Grêmio;19h00;Grêmio;Flamengo;2;0;14649;34
19/05/18;Independência;16h00;Atlético-MG;Cruzeiro;1;0;14595;43
18/07/18;Presidente Vargas (CE);19h30;Ceará;Sport;1;0;14558;6
03/06/18;Castelão (CE);19h00;Ceará;Cruzeiro;0;1;14522;4
14/11/18;Ilha do Retiro;21h45;Sport;Vitória;0;0;14475;14
13/06/18;Ilha do Retiro;19h30;Sport;Grêmio;0;0;14430;22
18/11/18;Morumbi;19h00;São Paulo;Cruzeiro;1;0;14058;27
27/05/18;Castelão (CE);19h00;Ceará;Grêmio;0;1;14012;9
14/05/18;Castelão (CE);20h00;Ceará;América-MG;2;2;13898;6
05/09/18;Fonte Nova;19h30;Bahia;Sport;2;0;13816;15
11/08/18;Presidente Vargas (CE);16h00;Ceará;Atlético-PR;0;0;13772;7
13/08/18;Maracanã;20h00;Fluminense;Internacional;0;3;13735;25
29/07/18;Arena Condá;19h00;Chapecoense;Grêmio;1;1;13659;49
16/09/18;Vila Belmiro;16h00;Santos;São Paulo;0;0;13488;20
06/06/18;Ilha do Retiro;21h00;Sport;Atlético-PR;1;0;13348;21
18/11/18;Arena do Grêmio;19h00;Grêmio;Chapecoense;2;0;13266;29
06/09/18;Pacaembu;19h00;Santos;Grêmio;0;0;13238;29
26/05/18;Maracanã;16h00;Fluminense;Chapecoense;3;1;13165;30
19/07/18;Mineirão;19h30;Cruzeiro;América-MG;3;1;13160;22
20/10/18;Morumbi;19h00;São Paulo;Atlético-PR;0;0;13053;37
23/09/18;Arena da Baixada;16h00;Atlético-PR;Paraná;3;0;12956;23
10/06/18;Arena do Grêmio;16h00;Grêmio;América-MG;1;0;12953;28
24/09/18;São Januário;20h00;Vasco;Bahia;2;1;12804;22
22/08/18;Arena do Grêmio;21h45;Grêmio;Cruzeiro;1;1;12773;31
03/11/18;Maracanã;17h00;Fluminense;Vasco;0;1;12728;26
14/04/18;Barradão;19h00;Vitória;Flamengo;2;2;12669;18
27/10/18;Arena Condá;19h00;Chapecoense;América-MG;1;0;12638;17
10/06/18;Fonte Nova;16h00;Bahia;Botafogo;3;3;12479;15
10/06/18;Independência;16h00;Atlético-MG;Fluminense;5;2;12431;19
12/08/18;Ilha do Retiro;16h00;Sport;São Paulo;1;3;12286;25
14/04/18;Pacaembu;21h00;Santos;Ceará;2;0;12268;42
23/09/18;Ilha do Retiro;18h00;Sport;Palmeiras;0;1;12254;11
02/09/18;Mineirão;19h00;Cruzeiro;Internacional;0;0;12225;17
25/08/18;Arena da Baixada;19h00;Atlético-PR;Grêmio;2;1;12188;28
27/10/18;Arena do Grêmio;16h30;Grêmio;Sport;3;4;12165;27
21/05/18;Beira-Rio;20h00;Internacional;Chapecoense;3;0;12106;39
24/10/18;Mineirão;19h30;Cruzeiro;Ceará;0;2;12078;16
25/07/18;Vila Belmiro;21h45;Santos;Flamengo;1;1;11843;24
01/09/18;Barradão;16h00;Vitória;América-MG;1;0;11799;11
11/11/18;Maracanã;19h00;Fluminense;Sport;0;0;11630;7
30/05/18;Ilha do Retiro;19h30;Sport;Atlético-MG;3;2;11609;20
06/05/18;Ilha do Retiro;19h00;Sport;Bahia;2;0;11572;21
25/08/18;Vila Belmiro;16h00;Santos;Bahia;2;0;11564;17
02/09/18;Arena da Baixada;16h00;Atlético-PR;Bahia;2;0;11471;20
19/07/18;São Januário;20h00;Vasco;Fluminense;1;1;11381;21
25/08/18;Mineirão;21h00;Cruzeiro;Fluminense;2;1;11380;13
16/04/18;Morumbi;20h00;São Paulo;Paraná;1;0;11327;29
26/10/18;Barradão;19h30;Vitória;São Paulo;0;1;11283;10
27/09/18;Pacaembu;20h00;Santos;Vasco;1;1;11190;28
29/08/18;Arena da Baixada;19h30;Atlético-PR;Vasco;1;0;11119;21
28/07/18;Presidente Vargas (CE);16h00;Ceará;Fluminense;1;0;11119;9
18/08/18;Vila Belmiro;16h00;Santos;Sport;3;0;10991;16
14/10/18;São Januário;16h00;Vasco;Cruzeiro;2;0;10841;23
12/11/18;Pacaembu;20h00;Santos;Chapecoense;0;1;10792;30
22/08/18;Ilha do Retiro;21h00;Sport;América-MG;0;2;10753;10
22/07/18;Mineirão;19h00;Cruzeiro;Atlético-PR;2;1;10713;22
26/08/18;Independência;16h00;América-MG;Flamengo;2;2;10294;16
13/05/18;Arena Condá;16h00;Chapecoense;Flamengo;3;2;10242;39
09/09/18;Barradão;19h00;Vitória;Vasco;1;0;10092;9
13/06/18;Engenhão;21h00;Botafogo;Atlético-PR;2;0;10048;12
09/09/18;Maracanã;16h00;Fluminense;Botafogo;1;0;10031;23
16/09/18;Arena da Baixada;16h00;Atlético-PR;Fluminense;3;1;9872;20
29/08/18;Presidente Vargas (CE);19h30;Ceará;Bahia;0;2;9780;4
22/04/18;Independência;16h00;Atlético-MG;Vitória;2;1;9649;13
06/10/18;Arena Condá;16h00;Chapecoense;Atlético-MG;1;0;9484;20
23/09/18;Barradão;18h00;Vitória;Botafogo;3;4;9481;8
02/06/18;Independência;16h00;Atlético-MG;Chapecoense;3;3;9426;18
12/08/18;Arena Condá;16h00;Chapecoense;Corinthians;2;1;9367;34
09/10/18;Engenhão;21h00;Botafogo;Vasco;1;1;9357;19
14/10/18;Arena da Baixada;19h00;Atlético-PR;Sport;4;0;9139;21
14/05/18;Engenhão;20h00;Botafogo;Fluminense;2;1;8931;28
19/08/18;Barradão;16h00;Vitória;Palmeiras;0;3;8822;12
29/07/18;Arena da Baixada;16h00;Atlético-PR;Vitória;4;0;8697;17
29/07/18;Vila Belmiro;19h00;Santos;América-MG;0;1;8691;17
27/10/18;Vila Belmiro;16h30;Santos;Fluminense;3;0;8680;19
22/04/18;Maracanã;16h00;Fluminense;Cruzeiro;1;0;8671;30
05/08/18;Durival Britto;16h00;Paraná;Ceará;0;1;8639;18
02/06/18;São Januário;19h00;Vasco;Botafogo;1;2;8592;27
27/05/18;Pacaembu;16h00;Santos;Cruzeiro;0;1;8504;41
28/04/18;Engenhão;16h00;Botafogo;Grêmio;2;1;8498;29
15/04/18;Arena da Baixada;19h00;Atlético-PR;Chapecoense;5;1;8395;15
26/08/18;São Januário;19h00;Vasco;Chapecoense;3;1;8375;21
20/05/18;Barradão;11h00;Vitória;Ceará;2;1;8371;12
20/05/18;Maracanã;19h00;Fluminense;Atlético-PR;2;0;8364;28
14/11/18;Mineirão;21h45;Cruzeiro;Corinthians;1;0;8314;15
26/10/18;São Januário;21h30;Vasco;Internacional;1;1;8301;31
06/09/18;Maracanã;19h00;Fluminense;Vitória;0;0;8297;20
09/06/18;Arena da Baixada;16h00;Atlético-PR;São Paulo;0;1;8257;27
21/10/18;Independência;19h00;Cruzeiro;Chapecoense;3;0;8251;19
31/05/18;Arena da Baixada;21h00;Atlético-PR;Santos;2;0;8204;22
19/07/18;Arena da Baixada;21h00;Atlético-PR;Internacional;2;2;8184;25
10/06/18;Vila Belmiro;19h00;Santos;Internacional;1;2;8124;22
22/04/18;Arena Condá;16h00;Chapecoense;Vasco;1;1;8075;23
04/11/18;Independência;17h00;América-MG;Cruzeiro;1;2;8056;12
20/10/18;Ilha do Retiro;19h00;Sport;Vasco;2;1;8035;10
02/09/18;Ilha do Retiro;16h00;Sport;Paraná;1;0;7956;11
29/09/18;Engenhão;16h00;Fluminense;Grêmio;0;1;7922;19
22/08/18;Maracanã;21h45;Fluminense;Corinthians;1;0;7856;25
30/09/18;Vila Belmiro;16h00;Santos;Atlético-PR;1;0;7802;18
20/05/18;Durival Britto;16h00;Paraná;Grêmio;0;0;7776;32
06/06/18;Engenhão;19h30;Botafogo;Ceará;0;0;7744;22
10/11/18;Arena da Baixada;19h00;Atlético-PR;Cruzeiro;2;0;7720;22
22/08/18;Durival Britto;19h30;Paraná;São Paulo;1;1;7635;38
29/04/18;Durival Britto;16h00;Paraná;Sport;1;2;7604;22
09/06/18;São Januário;19h00;Vasco;Sport;3;2;7581;21
22/07/18;São Januário;16h00;Vasco;Grêmio;1;0;7567;22
22/07/18;Ilha do Retiro;16h00;Sport;Fluminense;1;2;7542;22
13/05/18;Arena da Baixada;16h00;Atlético-PR;Atlético-MG;1;2;7505;15
05/10/18;Barradão;21h30;Vitória;Santos;0;1;7478;7
19/08/18;Engenhão;16h00;Botafogo;Atlético-MG;0;3;7465;20
07/05/18;Arena Condá;20h00;Chapecoense;Paraná;1;1;7288;21
05/08/18;Barradão;16h00;Vitória;Cruzeiro;1;1;7193;11
20/10/18;Engenhão;16h00;Botafogo;Bahia;0;1;7147;15
27/10/18;Arena da Baixada;21h00;Atlético-PR;Botafogo;2;1;7133;18
19/07/18;Arena Condá;19h30;Chapecoense;Bahia;1;1;7036;22
16/04/18;Engenhão;20h00;Botafogo;Palmeiras;1;1;7020;29
26/07/18;Engenhão;19h30;Botafogo;Chapecoense;1;0;6913;18
06/10/18;Arena da Baixada;16h00;Atlético-PR;América-MG;4;0;6817;17
13/06/18;Maracanã;19h00;Fluminense;Santos;0;1;6745;25
06/05/18;Barradão;16h00;Vitória;Fluminense;1;2;6652;9
29/09/18;Independência;19h00;América-MG;Corinthians;0;0;6617;15
22/07/18;Arena Condá;19h00;Chapecoense;Santos;0;0;6558;25
05/08/18;Independência;16h00;América-MG;Palmeiras;0;0;6514;13
07/06/18;Independência;21h00;América-MG;Atlético-MG;1;3;6509;14
30/05/18;Arena Condá;21h00;Chapecoense;Ceará;2;0;6464;20
27/05/18;Durival Britto;11h00;Paraná;Atlético-PR;0;0;6446;22
27/10/18;Mineirão;21h00;Cruzeiro;Paraná;3;1;6377;16
18/07/18;Barradão;21h00;Vitória;Paraná;1;0;6358;10
15/04/18;São Januário;16h00;Vasco;Atlético-MG;2;1;6349;27
04/08/18;Engenhão;16h00;Botafogo;Santos;0;0;6261;19
08/10/18;Maracanã;20h00;Fluminense;Paraná;4;0;6223;20
09/06/18;Arena Condá;19h00;Chapecoense;Cruzeiro;2;0;6088;22
26/08/18;Barradão;16h00;Vitória;Atlético-MG;1;0;5954;9
19/11/18;Maracanã;20h00;Fluminense;Ceará;0;0;5945;17
14/10/18;Arena Condá;11h00;Chapecoense;Vitória;0;1;5717;20
26/07/18;Barradão;19h30;Vitória;Sport;1;0;5706;10
30/05/18;Barradão;19h30;Vitória;Internacional;2;3;5591;9
25/08/18;Engenhão;21h00;Botafogo;Sport;2;0;5566;7
23/09/18;Mineirão;19h00;Cruzeiro;Santos;2;1;5534;14
05/09/18;Engenhão;19h30;Botafogo;Cruzeiro;1;1;5320;13
06/06/18;Barradão;19h30;Vitória;Chapecoense;1;0;5256;8
