Chapecoense Coritiba 7984
Chapecoense Internacional 13426
Chapecoense Flamengo 10615
Chapecoense Ponte Preta 5800
Chapecoense São Paulo 9016
Chapecoense Cruzeiro 6953
Chapecoense Avaí 6836
Chapecoense Santa Cruz 4734
Chapecoense Botafogo 11567
Chapecoense América-MG 7347
Chapecoense Vitória 7875
Chapecoense Atlético-GO 9744
Chapecoense Bahia 4953
Chapecoense Paraná 7288
Chapecoense Ceará 6464
Santos Vasco 10356
Santos Sport 9170
Santos Atlético-MG 9282
Santos Palmeiras 14764
Santos Joinville 12974
Santos Atlético-PR 5941
Santos Grêmio 7588
Santos Fluminense 10220
Santos Chapecoense 8673
Santos Goiás 6198
Santos Corinthians 13243
Santos Figueirense 9924
Santos Coritiba 8683
Santos Internacional 7878
Santos Flamengo 16608
Santos Ponte Preta 11740
Santos São Paulo 12272
Santos Cruzeiro 9151
Santos Avaí 9787
Santos Santa Cruz 24586
Santos Botafogo 13336
Santos América-MG 8111
Santos Vitória 9535
Santos Atlético-GO 4245
Santos Bahia 22044
Santos Paraná 3971
Santos Ceará 12268
Goiás Vasco 11177
Goiás Sport 2189
Goiás Atlético-MG 7026
Goiás Palmeiras 15142
Goiás Joinville 3488
Goiás Grêmio 3850
Goiás Fluminense 2419
Goiás Chapecoense 1170
Goiás Santos 1829
Goiás Corinthians 9438
Goiás Figueirense 3117
Goiás Coritiba 16896
Goiás Internacional 6420
Goiás Flamengo 10245
Goiás Ponte Preta 2322
Goiás Cruzeiro 12393
Goiás Avaí 1105
Corinthians Vasco 36726
Corinthians Sport 29370
Corinthians Atlético-MG 32204
Corinthians Palmeiras 37603
Corinthians Joinville 41809
Corinthians Atlético-PR 31699
Corinthians Grêmio 33562
Corinthians Fluminense 30679
Corinthians Chapecoense 22226
Corinthians Santos 34922
Corinthians Goiás 40925
Corinthians Figueirense 31646
Corinthians Coritiba 35695
Corinthians Internacional 24559
Corinthians Flamengo 40616
Corinthians Ponte Preta 31699
Corinthians São Paulo 43090
Corinthians Cruzeiro 31481
Corinthians Avaí 42732
Corinthians Santa Cruz 25501
Corinthians Botafogo 31639
Corinthians América-MG 30331
Corinthians Vitória 30008
Corinthians Atlético-GO 40581
Corinthians Bahia 34816
Corinthians Paraná 28136
Corinthians Ceará 40350
Figueirense Vasco 11004
Figueirense Sport 4977
Figueirense Atlético-MG 8391
Figueirense Palmeiras 12827
Figueirense Joinville 3891
Figueirense Atlético-PR 5817
Figueirense Grêmio 9627
Figueirense Fluminense 1842
Figueirense Chapecoense 7826
Figueirense Santos 6592
Figueirense Goiás 5425
Figueirense Corinthians 7589
Figueirense Coritiba 6925
Figueirense Internacional 7492
Figueirense Flamengo 11884
Figueirense Ponte Preta 6351
Figueirense São Paulo 7596
Figueirense Cruzeiro 4394
